mbid,artist_mb,artist_lastfm,country_mb,country_lastfm,tags_mb,tags_lastfm,listeners_lastfm,scrobbles_lastfm,ambiguous_artist
d4a8b62a-773d-4081-8a6c-e12b01346455,Phoenix,Phoenix,,France; Romania,,indie; french; indie pop; seen live; electronic; rock; indie rock; alternative; pop; alternative rock; Romanian; france; Phoenix; electronica; folk rock; Progressive rock; 00s; pop rock; folk; dance; indietronica; electropop; synthpop; indie electronic; electro; male vocalists; romania; new wave; european; synth pop; chillout,2030349,78553113,TRUE
7e9bd05a-117f-4cce-87bc-e011527a8b18,Miley Cyrus,Miley Cyrus,United States,United States,rock; pop; miley-cyrus,pop; female vocalists; Disney; dance; guilty pleasure; Miley Cyrus; better than selena gomez; urban; pop rock; better than demi lovato; american; rock; better than ariana grande; teen pop; miley; hannah montana; electronic; rnb; female vocalist; Hip-Hop; Brutal Death Metal; sexy; seen live; female; country; better than Lady Gaga; better than taylor swift; <3; Better than Katy Perry; 00s; bitch; whore; better than madonna; all things annoying in the world put together into one stupid bitch; disney channel; better than beyonce; electropop; beautiful; shit; Love; Slut; disneycore; Soundtrack; catchy; diva; deathcore; better than radiohead; death metal; Guilty Pleasures; dance-pop; amazing; teen; Cyrus; hot; Crap; alternative; singer-songwriter; dance pop; country pop; the worst thing ever to happen to music; attention whore; epic; jonas brothers; the climb; grindcore; USA; Officially Shit; Demi Lovato; 7 things; better than michael jackson; better than cher,2024192,64095313,FALSE
07cc14fb-4784-4a25-804b-2686ed5ef52c,The Game,The Game,United States,,rap; american; hip hop; soul and reggae,rap; Hip-Hop; Gangsta Rap; west coast; hip hop,2015445,29148734,FALSE
cf15719f-51f9-4db8-a15d-5eed9664ce69,Lupe Fiasco,Lupe Fiasco,United States,United States,hip-hop; hip hop; pop rap; rapper; hip hop rnb and dance hall; abstract hip hop; conscious hip hop; political hip hop,Hip-Hop; rap; hip hop; underground hip-hop; chicago; seen live; Lupe Fiasco; american; chi-town; alternative rap; hiphop; alternative hip-hop; soul; Conscious Rap; Lupe; intelligent; alternative; 00s; Conscious Hip Hop; urban; chill; male vocalists; midwest rap; Illinois; rnb; Midwest; skater; underground; chillout; political; makes black people want to skate; Good Hip Hop; indie; alternative hip hop; conscious hip-hop; socially conscious,2011760,40441463,FALSE
fbd2a255-1d57-4d31-ac11-65b671c19958,No Doubt,No Doubt,United States,United States,rock; pop; alternative rock; american; ska; ska punk; pop rock; third wave ska; gwen stefani; rock and indie; united states; tony kanal; c’était mieux avant; pop reggae,rock; pop; ska; alternative; female vocalists; alternative rock; 90s; seen live; punk; pop rock; american; No Doubt; ska punk; female vocalist; punk rock; indie; Pop-Rock; gwen stefani; female; California; new wave; dance; pop punk; reggae; USA; electronic; indie rock; 80s; favorites; 00s; ska-punk; female vocals; ska pop; emo; classic rock; third wave ska; electronica; funk; post-grunge,2011380,40846213,FALSE
c33627c6-ef0d-49de-9ef0-c4804190040f,Bob Marley,Bob Marley,United States,Jamaica,,reggae; roots reggae; Bob Marley; ska; rock; jamaican; jamaica; classic rock; chill; singer-songwriter; roots; legend; Rasta; 70s; chillout; alternative; dub; rocksteady; political; male vocalists; rastafari; marley,2004655,63414859,FALSE
1138a764-2212-4d0a-b02d-0dc14df91e08,Akon,Akon,Senegal,Senegal; United States,pop; american; hip hop; electropop; dance-pop; pop rap; hip hop rnb and dance hall; dangerous; r&b; contemporary r&b; senegalese-american,Hip-Hop; rnb; rap; hip hop; pop; Akon; r&b; soul; male vocalists; american; dance; hiphop; seen live; r'n'b; urban; r and b; rhythm and blues; black music; Gangsta Rap; senegal; Officially Shit; reggae; konvict; USA; 00s; african; rock; Favorite; shit; senegalese; male vocalist; electronic; alternative; Black,1999310,24788767,FALSE
1c70a3fc-fa3c-4be1-8b55-c3192db8a884,Röyksopp,Röyksopp,Norway,Norway,electronic; norwegian; electronica; european; dance and electronica; gratuitous swedish ø,electronic; chillout; ambient; electronica; norwegian; seen live; trip-hop; downtempo; dance; indie; electro; scandinavian; lounge; alternative; Norway; chill; royksopp; House; synthpop; electropop; pop; trip hop; chill out; downbeat; experimental; idm; Röyksopp; 00s,1995533,73295884,FALSE
d262ea27-3ffe-40f7-b922-85c42d625e67,Pitbull,Pitbull,United States,Cuba; Spain; United States,hip hop; hiphop; electropop; eurodance; southern hip hop; dance-pop; pop rap; latin pop; latin; hip house; electro house; maltido; pitbull; global warming meltdown,Hip-Hop; rap; Reggaeton; hip hop; Crunk; dance; pop; Pitbull; latin; male vocalists; rnb; Dirty South; american; electronic; miami; spanish; seen live; party; cuban; House; dancehall; sexy; hiphop; reggae; club; 00s; southern rap; florida; rock; funk,1987688,33712665,FALSE
854a1807-025b-42a8-ba8c-2a39717f1d25,Breaking Benjamin,Breaking Benjamin,United States,United States,alternative rock; hard rock; post-grunge; alternative metal,alternative rock; rock; hard rock; alternative; metal; post-grunge; alternative metal; breaking benjamin; Nu Metal; american; seen live; emo; Grunge; male vocalists; Post Grunge; Nu-metal; indie; Progressive rock; modern rock; USA; 00s; punk rock; punk,1984187,75582556,FALSE
09885b8e-f235-4b80-a02a-055539493173,The All‐American Rejects,The All-American Rejects,United States,,pop; alternative; pop punk; pop and chart; pop/rock,rock; alternative; pop punk; emo; punk,1984177,47283113,FALSE
437a0e49-c6ae-42f6-a6c1-84f25ed366bc,Bon Iver,Bon Iver,United States,United States,electronic; folk; alternative; indie folk; contemporary folk; sophisti-pop; singer/songwriter; art pop,folk; indie; singer-songwriter; acoustic; Lo-Fi; seen live; indie folk; american; alternative; Alt-country; americana; indie rock; Recommended; pay attention; male vocalists; kickasstic; folk rock; beautiful; Mellow; wisconsin; bon iver; rock; chillout; 00s; indie pop; USA; experimental; ambient; winter; relaxing; freak folk; melancholic,1975644,118007303,FALSE
94b0fb9d-a066-4823-b2ec-af1d324bcfcf,The Velvet Underground,The Velvet Underground,United States,,rock; american; usa; américain; art rock; experimental rock; pop rock; garage rock; protopunk; noise rock; classic pop and rock; proto-punk; pop/rock,rock; classic rock; psychedelic; proto-punk; alternative,1974564,61017038,FALSE
9a58fda3-f4ed-4080-a3a5-f457aac9fcdd,Joy Division,Joy Division,United Kingdom,United Kingdom,synthpop; 70s; 80s; punk rock; british; post-punk; new wave; uk; britannique; goth; alternative dance; english; england; manchester; rock and indie,post-punk; new wave; 80s; alternative; indie; rock; british; punk; Gothic; Post punk; Manchester; alternative rock; Joy Division; 70s; Gothic Rock; indie rock; goth; dark; cold wave; UK; punk rock; electronic; experimental; darkwave; english; melancholy; classic rock; factory records; Ian Curtis; male vocalists,1970455,100792059,FALSE
a670e05a-cea8-4b37-bce9-d82daf1a0fa4,Feist,Feist,Canada,Canada,electronic; folk; canadian; canada; canadien; indie; indie pop; chamber pop; rock and indie; singer/songwriter; art pop,female vocalists; indie; singer-songwriter; Canadian; indie pop; seen live; alternative; pop; folk; indie rock; female vocalist; Feist; canada; female; acoustic; chillout; Mellow; rock; indie folk; beautiful; chill; 00s; favorites; jazz; Lo-Fi; Love; arts and crafts; electronic; baroque pop; easy listening; soft; alternative rock; Favorite; lounge; downtempo; electronica; female vocals; singer songwriter,1966716,68418397,TRUE
